,날짜,지역명,강수량,사망자수,주야구분코드,부상자수,사고유형대분류코드,사고유형중분류코드,사고유형코드,가해자법규위반코드,도로형태대분류코드,도로형태코드,가해당사자종별코드,피해당사자종별코드,경도,위도
216,20161211,이천,0.0,1,1,2,1,14,04,5,01,05,1,12,127.11927627,37.32196594
217,20161211,수원,0.0,1,1,3,2,24,25,5,02,06,1,01,126.98883256,37.29753351
218,20161213,파주,0.0,1,1,1,2,24,25,5,1,05,7,03,126.87833248,37.7388555
219,20161215,이천,0.0,1,2,1,1,15,05,5,1,5,1,12,127.46879401,37.31747242
220,20161216,양평,0.0,1,2,3,1,11,01,5,1,5,1,12,127.52849171,37.89673485
221,20161217,수원,0.0,1,1,2,2,21,21,3,2,08,1,01,126.78741616,37.20347818
222,20161217,양평,0.0,1,2,1,2,24,25,2,01,05,1,07,127.60552525,37.48702436
223,20161220,이천,0.0,1,1,1,1,15,05,5,1,5,1,12,127.52193793,37.23215689
224,20161224,수원,0.0,1,2,1,1,11,01,5,01,05,2,12,127.03238112,37.26349674
225,20161224,양평,0.0,1,1,6,2,21,21,2,1,2,3,02,127.4685523,37.67942524
226,20161224,양평,0.0,1,1,1,3,34,31,5,1,2,1,##,127.38801918,37.68140428
227,20161225,수원,0.0,1,2,1,1,11,01,5,01,05,1,12,127.00225544,37.26386067
228,20161230,이천,0.0,1,1,2,2,22,22,2,01,05,1,01,127.30786091,37.17735956
